,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,6640.0,6652.0,6565.0,6584.0,985800.0,6584.0
1,2017-01-05,6587.0,6697.0,6586.0,6679.0,888200.0,6679.0
2,2017-01-06,6680.0,6774.0,6679.0,6759.0,899900.0,6759.0
3,2017-01-10,6770.0,6785.0,6681.0,6692.0,749400.0,6692.0
4,2017-01-11,6681.0,6694.0,6651.0,6681.0,532900.0,6681.0
5,2017-01-12,6650.0,6674.0,6536.0,6549.0,902500.0,6549.0
6,2017-01-13,6534.0,6562.0,6505.0,6546.0,659500.0,6546.0
7,2017-01-16,6545.0,6569.0,6473.0,6505.0,518900.0,6505.0
8,2017-01-17,6530.0,6538.0,6400.0,6418.0,709500.0,6418.0
9,2017-01-18,6414.0,6428.0,6285.0,6320.0,1018200.0,6320.0
10,2017-01-19,6346.0,6411.0,6337.0,6374.0,776900.0,6374.0
11,2017-01-20,6377.0,6430.0,6332.0,6402.0,471200.0,6402.0
12,2017-01-23,6379.0,6379.0,6303.0,6303.0,549000.0,6303.0
13,2017-01-24,6285.0,6339.0,6260.0,6301.0,769400.0,6301.0
14,2017-01-25,6345.0,6357.0,6271.0,6306.0,663700.0,6306.0
15,2017-01-26,6337.0,6370.0,6293.0,6349.0,561300.0,6349.0
16,2017-01-27,6396.0,6421.0,6350.0,6353.0,507700.0,6353.0
17,2017-01-30,6361.0,6403.0,6319.0,6391.0,452000.0,6391.0
18,2017-01-31,6250.0,6264.0,6061.0,6187.0,2077500.0,6187.0
19,2017-02-01,6147.0,6212.0,6125.0,6208.0,936500.0,6208.0
20,2017-02-02,6202.0,6208.0,6140.0,6151.0,757200.0,6151.0
21,2017-02-03,6164.0,6222.0,6160.0,6184.0,485500.0,6184.0
22,2017-02-06,6229.0,6234.0,6135.0,6161.0,579800.0,6161.0
23,2017-02-07,6191.0,6193.0,6113.0,6150.0,691600.0,6150.0
24,2017-02-08,6160.0,6167.0,6110.0,6137.0,593600.0,6137.0
25,2017-02-09,6134.0,6142.0,6087.0,6118.0,821300.0,6118.0
26,2017-02-10,6183.0,6260.0,6153.0,6233.0,885200.0,6233.0
